new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location
816,16642,Highways,1,Acer platanoides,Maple - Norway,9,5,47,Semi-mature,-0.198064,51.551219,"(51.551219, -0.198064)"
817,20798,Highways,1,Acer platanoides,Maple - Norway,11,8,38,Semi-mature,-0.199687,51.545588,"(51.545588, -0.199687)"
818,13320,Housing,1,Acer platanoides,Maple - Norway,16,8,33,Semi-mature,-0.13152,51.539307,"(51.539307, -0.13152)"
819,14480,Highways,1,Acer platanoides,Maple - Norway,13,7,38,Semi-mature,-0.188294,51.541802,"(51.541802, -0.188294)"
820,11966,Housing,1,Acer platanoides,Maple - Norway,14,6,43,Mature,-0.13146,51.545644,"(51.545644, -0.13146)"
821,18061,Highways,1,Acer platanoides,Maple - Norway,15,6,35,Mature,-0.199945,51.545419,"(51.545419, -0.199945)"
822,22916,Housing,1,Acer platanoides,Maple - Norway,16,8,54,Semi-mature,-0.150104,51.552153,"(51.552153, -0.150104)"
823,21524,Highways,1,Acer platanoides,Maple - Norway,18,10,51,Mature,-0.133193,51.53419,"(51.53419, -0.133193)"
824,17360,Highways,1,Fraxinus excelsior,Ash,8,6,30,Semi-mature,-0.172761,51.54683,"(51.54683, -0.172761)"
825,12583,Highways,1,Fraxinus excelsior,Ash,18,10,50,Mature,-0.169747,51.544042,"(51.544042, -0.169747)"
826,5356,Highways,1,Fraxinus excelsior,Ash,14,10,60,Mature,-0.151315,51.553432,"(51.553432, -0.151315)"
827,23139,Highways,1,Fraxinus excelsior,Ash,9,5,45,Mature,-0.133626,51.552295,"(51.552295, -0.133626)"
828,19241,Highways,1,Fraxinus excelsior,Ash,12,4,64,Mature,-0.188719,51.555791,"(51.555791, -0.188719)"
829,12840,Highways,1,Fraxinus excelsior,Ash,13,5,38,Mature,-0.133168,51.55247,"(51.55247, -0.133168)"
830,53,Housing,1,Fraxinus excelsior,Ash,18,10,49,Mature,-0.210713,51.650765,"(51.650765, -0.210713)"
831,1200,Housing,1,Fraxinus excelsior,Ash,11,10,31,Semi-mature,-0.15721,51.552544,"(51.552544, -0.15721)"
832,19596,Highways,1,Fraxinus excelsior,Ash,14,6,34,Mature,-0.136721,51.520477,"(51.520477, -0.136721)"
833,16720,Highways,1,Acer campestre,Maple - Field,15,7,36,Mature,-0.169673,51.545704,"(51.545704, -0.169673)"
834,10887,Highways,1,Acer campestre,Maple - Field,8,3,18,Semi-mature,-0.186505,51.56231,"(51.56231, -0.186505)"
835,13279,Highways,1,Acer campestre,Maple - Field,9,5,25,Semi-mature,-0.186514,51.556911,"(51.556911, -0.186514)"
836,3536,Highways,1,Acer campestre,Maple - Field,6,6,19,Semi-mature,-0.191503,51.547927,"(51.547927, -0.191503)"
837,7433,Highways,1,Acer campestre,Maple - Field,14,8,50,Mature,-0.141314,51.561891,"(51.561891, -0.141314)"
838,13578,Housing,1,Acer campestre,Maple - Field,6,3,13,Semi-mature,-0.152104,51.553237,"(51.553237, -0.152104)"
839,22355,Highways,1,Acer campestre,Maple - Field,8,5,20,Semi-mature,-0.118433,51.521661,"(51.521661, -0.118433)"
840,4589,Highways,1,Acer campestre,Maple - Field,10,8,25,Mature,-0.117804,51.523974,"(51.523974, -0.117804)"
841,2169,Housing,1,Acer pseudoplatanus,Sycamore,18,10,56,Mature,-0.189803,51.535992,"(51.535992, -0.189803)"
842,21839,Housing,1,Acer pseudoplatanus,Sycamore,17,9,44,Semi-mature,-0.120855,51.526914,"(51.526914, -0.120855)"
843,9713,Parks,1,Acer pseudoplatanus,Sycamore,17,7,32,Mature,-0.137,51.541029,"(51.541029, -0.137)"
844,19216,Highways,1,Tilia euchlora,Lime - Caucasian,10,5,29,Semi-mature,-0.15094,51.570194,"(51.570194, -0.15094)"
